smiles,RS_as_01
CN(C)[C@H](CCOC1=CC=CC2=C1C=CC=C2)C1=CC=CC=C1,0
CCCCOC(=O)[C@@H](C)OC1=CC=C(OC2=C(F)C=C(C=C2)C#N)C=C1,0
CCCCOC(=O)[C@H](C)OC1=CC=C(OC2=C(F)C=C(C=C2)C#N)C=C1,1
COCCOC[C@H](CC1(CCCC1)C(=O)N[C@H]1CC[C@H](CC1)C(O)=O)C(=O)OC1=CC2=C(CCC2)C=C1,1
COCCOC[C@@H](CC1(CCCC1)C(=O)N[C@@H]1CC[C@@H](CC1)C(O)=O)C(=O)OC1=CC2=C(CCC2)C=C1,0
CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(O)C=CC(C)=C1)C(C)C,0
CC(C)N(CC[C@@H](C1=CC=CC=C1)C1=C(O)C=CC(C)=C1)C(C)C,1
C[C@H]1COC2=C(C(F)=CC3=C2N1C=C(C(O)=O)C3=O)C1(N)CC1,1
C[C@@H]1COC2=C(C(F)=CC3=C2N1C=C(C(O)=O)C3=O)C1(N)CC1,0
C(CC1=CC2=C(OCO2)C=C1)N1CCC[C@H](C1)OC(C1=CC=CC=C1)C1=CC=CC=C1,0
C(CC1=CC2=C(OCO2)C=C1)N1CCC[C@@H](C1)OC(C1=CC=CC=C1)C1=CC=CC=C1,1
CC1=C(C[C@H]2CCC3=C(C)C4=C(C=CC=C4)N3C2=O)N=CN1,0
CC1=C(C[C@@H]2CCC3=C(C)C4=C(C=CC=C4)N3C2=O)N=CN1,1
N[C@@H](CSCCCO)C(O)=O,0
N[C@H](CSCCCO)C(O)=O,1
CC(C)(C)NC[C@H](O)C1=CC=C(O)C=C1Cl,0
CC(C)(C)NC[C@@H](O)C1=CC=C(O)C=C1Cl,1
CCOC1=C(C=CC(CC(=O)N[C@@H](CC(C)C)C2=C(C=CC=C2)N2CCCCC2)=C1)C(O)=O,1
CCOC1=C(C=CC(CC(=O)N[C@H](CC(C)C)C2=C(C=CC=C2)N2CCCCC2)=C1)C(O)=O,0
